# CarNeRF RAG - 자동차 리뷰 URL 큐레이션 (자동 큐레이션 결과)
# 형식: 브랜드|모델|URL
# 12 차종 × 3건 = 36건, 매체 분산 (모터그래프/오토헤럴드/데일리카/카가이/모토야)

# ==================== 현대 그랜저 (3건) ====================
현대|그랜저|https://www.motorgraph.com/news/articleView.html?idxno=41440
현대|그랜저|https://www.motorgraph.com/news/articleView.html?idxno=11109
현대|그랜저|https://www.dailycar.co.kr/content/news.html?type=view&autoId=46616

# ==================== 현대 투싼 (3건) ====================
현대|투싼|https://www.motorgraph.com/news/articleView.html?idxno=20813
현대|투싼|http://www.autoherald.co.kr/news/articleView.html?idxno=39190
현대|투싼|https://www.carguy.kr/news/articleView.html?idxno=47840

# ==================== 현대 아반떼 CN7 (3건) ====================
현대|아반떼 CN7|https://www.motorgraph.com/news/articleView.html?idxno=20897
현대|아반떼 CN7|https://www.carguy.kr/news/articleView.html?idxno=45892
현대|아반떼 CN7|http://www.autoherald.co.kr/news/articleView.html?idxno=50419

# ==================== 현대 캐스퍼 (3건) ====================
현대|캐스퍼|https://www.motorgraph.com/news/articleView.html?idxno=30105
현대|캐스퍼|https://www.motoya.co.kr/news/articleView.html?idxno=34724
현대|캐스퍼|https://www.dailycar.co.kr/content/news.html?type=view&autoId=41055

# ==================== 현대 NF소나타 (3건, 일반 소나타 시승기) ====================
현대|NF소나타|https://www.motorgraph.com/news/articleView.html?idxno=13062
현대|NF소나타|http://www.autoherald.co.kr/news/articleView.html?idxno=35834
현대|NF소나타|https://www.motoya.co.kr/news/articleView.html?idxno=17558

# ==================== 기아 K5 (3건) ====================
기아|K5|https://www.motorgraph.com/news/articleView.html?idxno=27249
기아|K5|http://www.autoherald.co.kr/news/articleView.html?idxno=37085
기아|K5|https://www.motoya.co.kr/news/articleView.html?idxno=30734

# ==================== 기아 쏘렌토 (3건) ====================
기아|쏘렌토|https://www.motoya.co.kr/news/articleView.html?idxno=31597
기아|쏘렌토|https://www.motorgraph.com/news/articleView.html?idxno=33199
기아|쏘렌토|https://www.motorgraph.com/news/articleView.html?idxno=26223

# ==================== 기아 EV6 (3건) ====================
기아|EV6|https://www.motorgraph.com/news/articleView.html?idxno=29378
기아|EV6|https://www.autoherald.co.kr/news/articleView.html?idxno=42011
기아|EV6|http://www.autoherald.co.kr/news/articleView.html?idxno=41699

# ==================== 기아 카니발 (3건) ====================
기아|카니발|https://www.motorgraph.com/news/articleView.html?idxno=26341
기아|카니발|https://www.carguy.kr/news/articleView.html?idxno=47825
기아|카니발|https://www.dailycar.co.kr/content/news.html?type=view&autoId=57967

# ==================== 제네시스 G80 (3건) ====================
제네시스|G80|https://www.motorgraph.com/news/articleView.html?idxno=25684
제네시스|G80|http://www.carguy.kr/news/articleView.html?idxno=53795
제네시스|G80|https://www.dailycar.co.kr/content/news.html?type=view&autoId=51498

# ==================== BMW 520i (3건) ====================
BMW|520i|https://www.motoya.co.kr/news/articleView.html?idxno=40394
BMW|520i|http://www.autoherald.co.kr/news/articleView.html?idxno=51543
BMW|520i|http://www.dailycar.co.kr/content/news.html?type=view&autoId=33328

# ==================== 쉐보레 트레일블레이저 (3건) ====================
쉐보레|트레일블레이저|https://www.motorgraph.com/news/articleView.html?idxno=26383
쉐보레|트레일블레이저|https://www.motoya.co.kr/news/articleView.html?idxno=31325
